Model,Device,Image,IoU,cx_offset,cy_offset,w_offset,h_offset
yolov8m_FP32,GPU.0,ds2_2STEM_jpg.rf.2e39022128cbb552852a72d23a72e6d9.jpg,0.9994,0.03,0.03,0.15,0.07
yolov8m_FP32,GPU.0,ds2_dscf9033_jpg.rf.7d7518bdd7dcccbfef1b265bb57e5233.jpg,0.9988,0.01,0.04,0.04,0.06
yolov8m_FP32,GPU.0,ds2_H5w92_jpg.rf.1efd4705877141eb0bc98626ccbbb38a.jpg,0.9987,0.15,0.03,0.10,0.13
yolov8m_FP32,GPU.0,ds2_blueberry_leaf_set_collection_isolated_white_58283965_jpg.rf.e78cc195e672ca3aba6a293210802eb4.jpg,0.9993,0.04,0.01,0.05,0.02
yolov8m_FP32,GPU.0,ds2_SAM_0376_JPG_jpg.rf.6c02610edfe2e36f9f1523c55706bf4f.jpg,0.9990,0.00,0.01,0.01,0.08
yolov8m_FP32,GPU.0,ds2_image_original_jpeg_1472603886_jpg.rf.2f0c3935057051c57ee522b5f8005c0d.jpg,0.9990,0.03,0.04,0.06,0.17
yolov8m_FP32,GPU.0,ds2_DSCN7317_JPG_jpg.rf.c496d4b241754dd5ca76e145bd97f17f.jpg,0.9970,0.05,0.14,0.32,0.78
yolov8m_FP32,GPU.0,ds2_apple_leaf_14319997_jpg.rf.915003b228e4bbd800c92394b94938c6.jpg,0.9981,0.07,0.12,0.27,0.32
yolov8m_FP32,GPU.0,ds2_07feb_ma_sbr3_JPG_jpg.rf.cf33cc25ee461af1a32a5f0d24022f33.jpg,0.9959,0.01,0.33,0.01,0.56
yolov8m_FP16,CPU,ds2_depositphotos_6870648_stock_photo_ripe_peach_fruit_with_leaves_jpg.rf.d5e25b43b755ad475855696f3f04ee13.jpg,0.9997,0.01,0.00,0.01,0.00
yolov8m_FP16,CPU,ds2_apple_scab_5366820_jpg.rf.af4ba1f61719d6d1bb17a91e227fcf97.jpg,0.9999,0.00,0.00,0.00,0.01
yolov8m_FP16,CPU,ds2_pepper_bacterial_spot_03_zoom_jpg.rf.085f01aaeca40b9d6cf1630988c5deab.jpg,1.0000,0.00,0.00,0.01,0.00
yolov8m_FP16,CPU,ds2_B2650214_Potato_leaf_blight_SPL_jpg.rf.e19f47a1fbc1962cf962c5b7ee2eb945.jpg,1.0000,0.00,0.00,0.00,0.00
yolov8m_FP16,CPU,ds1_IMG_1012_JPG.rf.ac6eb00df4a98d3c914e140a57d070f7.jpg,0.9998,0.02,0.02,0.02,0.03
yolov8m_FP16,CPU,ds2_stock_photo_peach_leaves_isolated_203326555_jpg.rf.d61ca8f9c8bc782e9ddc246185678604.jpg,0.9999,0.01,0.00,0.00,0.01
yolov8m_FP16,CPU,ds2_tomato_plant_is_infected_with_septoria_leaf_spot_jpg.rf.def9856b0341f3c388b62cff9fc21c79.jpg,0.9995,0.01,0.01,0.00,0.02
